任务ID,任务优先级,任务类型,任务来源,会员ID,会员等级,会员城市,归属门店ID,门店名称,门店城市,店型,门店类型,员工导购ID,员工姓名,岗位,角色标签,人群标签,推荐动作,推荐权益,推荐原因,预计价值,任务生成时间,任务截止时间,任务失效时间,触达状态,触达时间,触达方式,触达后下单,触达后下单金额,任务结果,执行状态,转化阶段
T00000141,P1,新会员首单,规则生成,M0064593,金卡,长沙,S00885,长沙校园0885店,长沙,校园店,学校店,E000289,普通导购0289,普通导购,普通导购,活跃,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,26.5,2026-03-19 07:57:46,2026-03-24 07:57:46,2026-03-26 07:57:46,已触达,1774116919000000000,社群,1,27.35,已完成-有转化,已完结,有转化
T00000142,P1,首单后二单,规则生成,M0002352,普卡,上海,S00464,上海街边店0464店,上海,快取店,快取店,E000332,店长0332,店长,店长,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,26.14,2026-05-09 08:15:52,2026-05-11 08:15:52,2026-05-16 08:15:52,已触达,1778484344000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000143,P1,新会员首单,模型生成,M0027537,普卡,贵阳,S00346,贵阳校园0346店,贵阳,快取店,快取店,E000463,普通导购0463,普通导购,普通导购,高价值,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,21.43,2026-04-29 07:18:15,2026-05-06 07:18:15,2026-05-06 07:18:15,已触达,1777590173000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000144,P1,沉睡召回,规则生成,M0068787,金卡,常州,S00494,常州街边店0494店,常州,标准店,社区店,E000213,金牌导购0213,金牌导购,金牌导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,49.74,2026-03-28 07:38:40,2026-04-02 07:38:40,2026-04-04 07:38:40,未触达,,,0,0.0,已失效,已过期,未触达
T00000145,P2,外卖转到店,规则生成,M0047394,银卡,南宁,S00532,南宁购物中心0532店,南宁,标准店,商场店,E000228,金牌导购0228,金牌导购,金牌导购,高价值,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,42.33,2026-04-16 08:00:31,2026-04-20 08:00:31,2026-04-23 08:00:31,已触达,1776473954000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000146,P0,流失预警,规则生成,M0002582,普卡,珠海,S00680,珠海街边店0680店,珠海,校园店,学校店,E000582,普通导购0582,普通导购,普通导购,活跃,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,52.69,2026-03-25 08:12:02,2026-03-31 08:12:02,2026-04-01 08:12:02,未触达,,,0,0.0,已失效,已过期,未触达
T00000147,P2,高价值维护,规则生成,M0030602,普卡,合肥,S00586,合肥购物中心0586店,合肥,标准店,商场店,E000592,普通导购0592,普通导购,普通导购,流失,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,65.48,2026-04-05 09:06:19,2026-04-08 09:06:19,2026-04-12 09:06:19,已触达,1775495934000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000148,P2,外卖转到店,模型生成,M0019301,普卡,南通,S00611,南通购物中心0611店,南通,标准店,商场店,E000215,普通导购0215,普通导购,普通导购,新客,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,58.4,2026-03-20 09:52:13,2026-03-27 09:52:13,2026-03-27 09:52:13,已触达,1774178573000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000149,P2,外卖转到店,规则生成,M0051115,普卡,广州,S00803,广州CBD0803店,广州,标准店,写字楼店,E000305,金牌导购0305,金牌导购,金牌导购,新客,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,44.66,2026-03-19 09:10:17,2026-03-26 09:10:17,2026-03-26 09:10:17,已触达,1774074549000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000150,P2,外卖转到店,模型生成,M0033495,普卡,长春,S01076,长春购物中心1076店,长春,快取店,快取店,E000176,普通导购0176,普通导购,普通导购,流失,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,71.27,2026-05-15 08:17:19,2026-05-19 08:17:19,2026-05-22 08:17:19,已触达,1779004764000000000,企微1V1,1,98.51,已完成-有转化,已完结,有转化
T00000151,P2,高价值维护,人工指派,M0074361,普卡,东莞,S00811,东莞购物中心0811店,东莞,标准店,商场店,E000026,普通导购0026,普通导购,普通导购,活跃,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,88.38,2026-04-25 07:23:50,2026-04-27 07:23:50,2026-05-02 07:23:50,已触达,1777234327000000000,企微1V1,1,80.53,已完成-有转化,已完结,有转化
T00000152,P0,流失预警,规则生成,M0025793,普卡,深圳,S00638,深圳购物中心0638店,深圳,旗舰店,旗舰店,E000023,金牌导购0023,金牌导购,金牌导购,活跃,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,84.16,2026-03-13 07:07:43,2026-03-17 07:07:43,2026-03-20 07:07:43,已触达,1773623732000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000153,P1,沉睡召回,人工指派,M0014048,普卡,武汉,S00477,武汉购物中心0477店,武汉,外卖店,外卖卫星店,E000578,普通导购0578,普通导购,普通导购,沉睡,强召回权益+低频触达,拉新返券,60 天未消费,59.71,2026-02-20 09:12:51,2026-02-25 09:12:51,2026-02-27 09:12:51,未触达,,,0,0.0,已失效,已过期,未触达
T00000154,P2,外卖转到店,规则生成,M0009848,普卡,中山,S00898,中山购物中心0898店,中山,外卖店,外卖卫星店,E000106,金牌导购0106,金牌导购,金牌导购,新客,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,51.34,2026-02-26 09:16:11,2026-02-28 09:16:11,2026-03-05 09:16:11,未触达,,,0,0.0,已失效,已过期,未触达
T00000155,P1,首单后二单,规则生成,M0027382,银卡,广州,S00970,广州CBD0970店,广州,快取店,快取店,E000417,普通导购0417,普通导购,普通导购,新客,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,36.84,2026-05-04 07:17:24,2026-05-06 07:17:24,2026-05-11 07:17:24,未触达,,,0,0.0,已失效,已过期,未触达
T00000156,P2,高价值维护,规则生成,M0030807,普卡,泉州,S00376,泉州社区0376店,泉州,外卖店,外卖卫星店,E000339,金牌导购0339,金牌导购,金牌导购,流失,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,94.11,2026-05-07 07:11:30,2026-05-14 07:11:30,2026-05-14 07:11:30,已触达,1778296145000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000157,P1,沉睡召回,规则生成,M0047136,普卡,郑州,S00709,郑州购物中心0709店,郑州,标准店,商场店,E000585,普通导购0585,普通导购,普通导购,高价值,强召回权益+低频触达,拉新返券,60 天未消费,45.35,2026-04-11 07:47:15,2026-04-16 07:47:15,2026-04-18 07:47:15,未触达,,,0,0.0,已失效,已过期,未触达
T00000158,P1,沉睡召回,规则生成,M0024621,普卡,哈尔滨,S00336,哈尔滨写字楼0336店,哈尔滨,标准店,写字楼店,E000339,金牌导购0339,金牌导购,金牌导购,新客,强召回权益+低频触达,拉新返券,60 天未消费,43.05,2026-02-19 07:55:40,2026-02-22 07:55:40,2026-02-26 07:55:40,未触达,,,0,0.0,已失效,已过期,未触达
T00000159,P1,首单后二单,规则生成,M0007084,银卡,杭州,S00599,杭州社区0599店,杭州,外卖店,外卖卫星店,E000287,普通导购0287,普通导购,普通导购,高价值,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,24.07,2026-03-31 07:21:07,2026-04-05 07:21:07,2026-04-07 07:21:07,已触达,1774997438000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000160,P2,外卖转到店,模型生成,M0046715,普卡,苏州,S00954,苏州社区0954店,苏州,快取店,快取店,E000528,普通导购0528,普通导购,普通导购,新客,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,32.81,2026-05-18 09:51:22,2026-05-20 09:51:22,2026-05-25 09:51:22,未触达,,,0,0.0,进行中,进行中,未触达
T00000161,P1,首单后二单,规则生成,M0015097,普卡,珠海,S00667,珠海街边店0667店,珠海,标准店,社区店,E000262,金牌导购0262,金牌导购,金牌导购,活跃,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,43.16,2026-04-01 08:25:29,2026-04-07 08:25:29,2026-04-08 08:25:29,已触达,1775145928000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000162,P2,外卖转到店,规则生成,M0059374,普卡,武汉,S00065,武汉购物中心0065店,武汉,快取店,快取店,E000430,普通导购0430,普通导购,普通导购,活跃,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,46.53,2026-05-03 09:36:33,2026-05-05 09:36:33,2026-05-10 09:36:33,已触达,1777839930000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000163,P2,堂食老客召回,规则生成,M0057796,普卡,南京,S00832,南京交通枢纽0832店,南京,标准店,交通店,E000306,普通导购0306,普通导购,普通导购,沉睡,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,49.25,2026-03-01 08:05:53,2026-03-04 08:05:53,2026-03-08 08:05:53,已触达,1772464568000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000164,P0,流失预警,规则生成,M0031342,银卡,北京,S00030,北京CBD0030店,北京,标准店,写字楼店,E000053,普通导购0053,普通导购,普通导购,沉睡,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,64.79,2026-04-29 09:41:37,2026-05-01 09:41:37,2026-05-06 09:41:37,已触达,1777543696000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000165,P1,首单后二单,规则生成,M0008616,银卡,乌鲁木齐,S00076,乌鲁木齐CBD0076店,乌鲁木齐,标准店,写字楼店,E000457,金牌导购0457,金牌导购,金牌导购,沉睡,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,24.81,2026-03-10 08:40:32,2026-03-13 08:40:32,2026-03-17 08:40:32,已触达,1773295987000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000166,P1,首单后二单,规则生成,M0044128,普卡,深圳,S00146,深圳交通枢纽0146店,深圳,校园店,学校店,E000232,普通导购0232,普通导购,普通导购,沉睡,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,38.81,2026-03-03 08:48:07,2026-03-05 08:48:07,2026-03-10 08:48:07,已触达,1772677930000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000167,P2,高价值维护,模型生成,M0036253,黑卡,呼和浩特,S00689,呼和浩特CBD0689店,呼和浩特,标准店,写字楼店,E000054,普通导购0054,普通导购,普通导购,沉睡,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,98.36,2026-04-27 07:13:42,2026-04-29 07:13:42,2026-05-04 07:13:42,未触达,,,0,0.0,已失效,已过期,未触达
T00000168,P1,首单后二单,模型生成,M0054786,普卡,广州,S00254,广州社区0254店,广州,校园店,学校店,E000102,金牌导购0102,金牌导购,金牌导购,活跃,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,27.07,2026-04-19 08:07:02,2026-04-23 08:07:02,2026-04-26 08:07:02,已触达,1776692013000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000169,P1,首单后二单,人工指派,M0010910,金卡,厦门,S00792,厦门写字楼0792店,厦门,快取店,快取店,E000071,金牌导购0071,金牌导购,金牌导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,33.2,2026-04-26 07:32:39,2026-05-02 07:32:39,2026-05-03 07:32:39,已触达,1777247091000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000170,P1,新会员首单,模型生成,M0053253,银卡,泉州,S00392,泉州校园0392店,泉州,外卖店,外卖卫星店,E000293,金牌导购0293,金牌导购,金牌导购,流失,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,28.97,2026-03-11 07:04:07,2026-03-14 07:04:07,2026-03-18 07:04:07,已触达,1773311249000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000171,P0,流失预警,规则生成,M0052864,银卡,济南,S00604,济南社区0604店,济南,标准店,社区店,E000328,普通导购0328,普通导购,普通导购,流失,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,37.9,2026-03-18 07:32:10,2026-03-25 07:32:10,2026-03-25 07:32:10,已触达,1773899613000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000172,P1,新会员首单,规则生成,M0006310,银卡,南昌,S00618,南昌写字楼0618店,南昌,标准店,写字楼店,E000010,普通导购0010,普通导购,普通导购,活跃,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,26.34,2026-02-27 09:02:39,2026-03-05 09:02:39,2026-03-06 09:02:39,未触达,,,0,0.0,已失效,已过期,未触达
T00000173,P2,堂食老客召回,规则生成,M0066836,金卡,太原,S00758,太原CBD0758店,太原,标准店,写字楼店,E000558,普通导购0558,普通导购,普通导购,流失,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,42.4,2026-04-26 09:32:52,2026-05-03 09:32:52,2026-05-03 09:32:52,已触达,1777357683000000000,社群,1,35.5,已完成-有转化,已完结,有转化
T00000174,P2,高价值维护,规则生成,M0007329,普卡,大连,S00017,大连购物中心0017店,大连,标准店,商场店,E000040,普通导购0040,普通导购,普通导购,新客,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,68.66,2026-04-09 07:23:43,2026-04-11 07:23:43,2026-04-16 07:23:43,已触达,1775927613000000000,社群,1,74.23,已完成-有转化,已完结,有转化
T00000175,P2,外卖转到店,模型生成,M0068964,金卡,重庆,S00252,重庆写字楼0252店,重庆,旗舰店,旗舰店,E000021,金牌导购0021,金牌导购,金牌导购,高价值,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,61.79,2026-05-03 07:09:11,2026-05-05 07:09:11,2026-05-10 07:09:11,已触达,1777998669000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000176,P2,外卖转到店,模型生成,M0058837,金卡,成都,S00341,成都购物中心0341店,成都,标准店,商场店,E000535,普通导购0535,普通导购,普通导购,新客,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,49.35,2026-04-30 07:16:16,2026-05-07 07:16:16,2026-05-07 07:16:16,已触达,1777590351000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000177,P1,首单后二单,模型生成,M0046249,普卡,苏州,S00919,苏州购物中心0919店,苏州,标准店,商场店,E000108,金牌导购0108,金牌导购,金牌导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,32.25,2026-04-18 09:28:41,2026-04-24 09:28:41,2026-04-25 09:28:41,已触达,1776616011000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000178,P2,高价值维护,人工指派,M0004297,金卡,重庆,S00238,重庆购物中心0238店,重庆,快取店,快取店,E000014,普通导购0014,普通导购,普通导购,新客,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,88.3,2026-04-14 08:44:37,2026-04-17 08:44:37,2026-04-21 08:44:37,未触达,,,0,0.0,已失效,已过期,未触达
T00000179,P2,堂食老客召回,规则生成,M0036546,黑卡,长沙,S00962,长沙写字楼0962店,长沙,快取店,快取店,E000325,新人导购0325,新人导购,新人导购,活跃,新品邀请+同行福利,新品体验 5 折,曾高频到店近期无到店,55.97,2026-03-14 09:56:05,2026-03-20 09:56:05,2026-03-21 09:56:05,已触达,1773627547000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000180,P1,新会员首单,规则生成,M0007926,普卡,长沙,S01134,长沙校园1134店,长沙,标准店,学校店,E000381,普通导购0381,普通导购,普通导购,高价值,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,22.05,2026-02-23 09:35:55,2026-03-01 09:35:55,2026-03-02 09:35:55,已触达,1771980476000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000181,P0,负评修复,规则生成,M0003654,黑卡,北京,S00329,北京写字楼0329店,北京,标准店,写字楼店,E000040,普通导购0040,普通导购,普通导购,流失,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,31.36,2026-05-18 09:51:30,2026-05-22 09:51:30,2026-05-25 09:51:30,未触达,,,0,0.0,进行中,进行中,未触达
T00000182,P0,流失预警,规则生成,M0066700,普卡,乌鲁木齐,S00228,乌鲁木齐社区0228店,乌鲁木齐,标准店,社区店,E000097,普通导购0097,普通导购,普通导购,沉睡,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,43.49,2026-05-12 09:05:31,2026-05-19 09:05:31,2026-05-19 09:05:31,未触达,,,0,0.0,已失效,已过期,未触达
T00000183,P0,流失预警,规则生成,M0072315,普卡,深圳,S00903,深圳CBD0903店,深圳,标准店,写字楼店,E000326,普通导购0326,普通导购,普通导购,流失,电话回访+召回券,沉睡唤醒 9 折,消费间隔接近流失阈值,71.17,2026-04-24 09:51:46,2026-04-26 09:51:46,2026-05-01 09:51:46,已触达,1777042496000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000184,P1,沉睡召回,规则生成,M0061887,普卡,佛山,S00197,佛山购物中心0197店,佛山,外卖店,外卖卫星店,E000134,金牌导购0134,金牌导购,金牌导购,活跃,强召回权益+低频触达,拉新返券,60 天未消费,40.78,2026-02-20 08:36:01,2026-02-24 08:36:01,2026-02-27 08:36:01,未触达,,,0,0.0,已失效,已过期,未触达
T00000185,P2,高价值维护,规则生成,M0026933,银卡,南宁,S00840,南宁购物中心0840店,南宁,旗舰店,旗舰店,E000293,金牌导购0293,金牌导购,金牌导购,沉睡,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,68.35,2026-04-25 08:30:00,2026-04-29 08:30:00,2026-05-02 08:30:00,已触达,1777338961000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000186,P2,高价值维护,规则生成,M0031986,金卡,宜昌,S00524,宜昌CBD0524店,宜昌,标准店,写字楼店,E000396,普通导购0396,普通导购,普通导购,流失,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,102.52,2026-04-03 08:24:53,2026-04-05 08:24:53,2026-04-10 08:24:53,已触达,1775435411000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000187,P0,负评修复,规则生成,M0039320,普卡,海口,S00833,海口购物中心0833店,海口,标准店,商场店,E000074,金牌导购0074,金牌导购,金牌导购,活跃,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,23.6,2026-03-22 07:30:59,2026-03-29 07:30:59,2026-03-29 07:30:59,未触达,,,0,0.0,已失效,已过期,未触达
T00000188,P1,沉睡召回,规则生成,M0016791,普卡,武汉,S00475,武汉写字楼0475店,武汉,标准店,写字楼店,E000026,普通导购0026,普通导购,普通导购,流失,强召回权益+低频触达,拉新返券,60 天未消费,59.04,2026-03-08 08:24:52,2026-03-13 08:24:52,2026-03-15 08:24:52,已触达,1773189518000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000189,P1,沉睡召回,模型生成,M0077782,普卡,北京,S00895,北京购物中心0895店,北京,旗舰店,旗舰店,E000597,金牌导购0597,金牌导购,金牌导购,沉睡,强召回权益+低频触达,拉新返券,60 天未消费,32.52,2026-02-28 09:28:06,2026-03-05 09:28:06,2026-03-07 09:28:06,未触达,,,0,0.0,已失效,已过期,未触达
T00000190,P1,新会员首单,模型生成,M0033768,普卡,北京,S00068,北京社区0068店,北京,标准店,社区店,E000402,普通导购0402,普通导购,普通导购,沉睡,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,17.55,2026-03-23 07:04:13,2026-03-30 07:04:13,2026-03-30 07:04:13,已触达,1774432345000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000191,P2,外卖转到店,规则生成,M0062383,普卡,无锡,S00179,无锡社区0179店,无锡,旗舰店,旗舰店,E000266,普通导购0266,普通导购,普通导购,沉睡,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,69.89,2026-03-19 07:59:18,2026-03-25 07:59:18,2026-03-26 07:59:18,已触达,1774081527000000000,社群,0,0.0,已完成-无转化,已完结,已触达未转化
T00000192,P2,高价值维护,模型生成,M0060385,普卡,福州,S00243,福州购物中心0243店,福州,标准店,商场店,E000480,金牌导购0480,金牌导购,金牌导购,流失,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,88.38,2026-03-10 07:44:47,2026-03-16 07:44:47,2026-03-17 07:44:47,未触达,,,0,0.0,已失效,已过期,未触达
T00000193,P1,首单后二单,规则生成,M0059709,银卡,厦门,S00937,厦门CBD0937店,厦门,外卖店,外卖卫星店,E000339,金牌导购0339,金牌导购,金牌导购,流失,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,32.71,2026-04-15 08:49:55,2026-04-19 08:49:55,2026-04-22 08:49:55,已触达,1776321288000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000194,P1,新会员首单,规则生成,M0053121,普卡,天津,S00378,天津CBD0378店,天津,标准店,写字楼店,E000585,普通导购0585,普通导购,普通导购,流失,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,26.7,2026-04-02 08:00:31,2026-04-06 08:00:31,2026-04-09 08:00:31,已触达,1775360595000000000,电话,0,0.0,已完成-无转化,已完结,已触达未转化
T00000195,P1,首单后二单,规则生成,M0059710,普卡,贵阳,S00530,贵阳购物中心0530店,贵阳,校园店,学校店,E000044,普通导购0044,普通导购,普通导购,沉睡,发二单券+推荐爆款,满 30 减 10,首单 14 天未复购,41.52,2026-04-02 07:16:01,2026-04-07 07:16:01,2026-04-09 07:16:01,未触达,,,0,0.0,已失效,已过期,未触达
T00000196,P0,负评修复,规则生成,M0073197,银卡,绵阳,S00868,绵阳社区0868店,绵阳,外卖店,外卖卫星店,E000480,金牌导购0480,金牌导购,金牌导购,沉睡,服务补救+客服回访,免费小食券,近期评分 ≤ 2 星,38.98,2026-03-14 09:49:07,2026-03-19 09:49:07,2026-03-21 09:49:07,已触达,1773600826000000000,短信,0,0.0,已完成-无转化,已完结,已触达未转化
T00000197,P2,外卖转到店,规则生成,M0059361,金卡,常州,S00969,常州写字楼0969店,常州,快取店,快取店,E000413,普通导购0413,普通导购,普通导购,沉睡,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,50.9,2026-04-07 08:46:08,2026-04-09 08:46:08,2026-04-14 08:46:08,已触达,1775733155000000000,企微1V1,0,0.0,已完成-无转化,已完结,已触达未转化
T00000198,P1,新会员首单,规则生成,M0058014,银卡,上海,S00126,上海社区0126店,上海,标准店,社区店,E000002,普通导购0002,普通导购,普通导购,流失,发首单券+邀约入群,新人首单 9.9 元拿铁,注册后 7 天未消费,20.13,2026-05-10 08:26:01,2026-05-12 08:26:01,2026-05-17 08:26:01,未触达,,,0,0.0,已失效,已过期,未触达
T00000199,P2,高价值维护,规则生成,M0047272,普卡,青岛,S00286,青岛交通枢纽0286店,青岛,快取店,快取店,E000480,金牌导购0480,金牌导购,金牌导购,沉睡,专属权益+会员日邀约,黑卡尊享 6 折,RFM 重要价值客户维系,79.62,2026-05-13 07:19:31,2026-05-15 07:19:31,2026-05-20 07:19:31,未触达,,,0,0.0,进行中,已过期,未触达
T00000200,P2,外卖转到店,模型生成,M0057109,普卡,杭州,S00249,杭州街边店0249店,杭州,标准店,社区店,E000054,普通导购0054,普通导购,普通导购,沉睡,到店专享+堂食套餐,下午茶套餐,外卖高频但近期无到店,41.78,2026-04-27 09:17:45,2026-05-02 09:17:45,2026-05-04 09:17:45,未触达,,,0,0.0,已失效,已过期,未触达
